section,undesired_area,total_area,percentage
1,487793,487793,0.0
2,471470,487841,0.033558065025284876
4,364543,389978,0.0652216278867013
5,319879,351678,0.09042078264776301
6,279632,319506,0.12479890831471084
7,239344,292909,0.18287249623603236
8,207686,271313,0.23451511722622947
9,182239,254258,0.28325165776494743
10,160584,241351,0.33464539198097376
11,142326,232346,0.3874394222409682
12,126426,227046,0.4431701064982426
13,113021,225268,0.4982820462737717
14,101509,227027,0.5528769705805917
15,91334,232348,0.6069086026133214
16,82291,241356,0.6590472165597706
17,74016,254281,0.7089204462779366
18,66454,271298,0.7550516406313352
19,58024,292929,0.8019178708833882
20,45948,319519,0.8561963451312754
21,39165,351695,0.8886393039423364
22,31897,389965,0.9182054799789725
23,25254,435070,0.9419541682947572
24,32718,487828,0.9329312790573727
25,54902,548892,0.8999766802941198
